AppID,Category_1,Category_2
883130,Single-player,Steam Achievements
913570,Single-player,
1930230,Single-player,
351490,Single-player,Steam Achievements
378360,Single-player,Multi-player
1273450,Single-player,
1059660,Single-player,
820830,Single-player,Steam Achievements
668290,Single-player,Full controller support
646100,Single-player,
1382310,Single-player,Partial Controller Support
1944970,Single-player,Steam Achievements
1534240,Single-player,Steam Achievements
1339310,Single-player,Steam Achievements
575800,Single-player,Steam Achievements
1968280,Others,
634120,Single-player,Steam Achievements
1843230,Single-player,
1434550,Single-player,Steam Achievements
316260,Single-player,Multi-player
604040,Single-player,Steam Achievements
1050170,Single-player,
1546120,Single-player,
762850,Single-player,
1221560,Single-player,Steam Cloud
1939600,Single-player,Steam Achievements
1652800,Single-player,
437530,Single-player,Steam Achievements
1583650,Single-player,Steam Achievements
526130,Single-player,Steam Achievements
1651880,Single-player,
311120,Single-player,Steam Trading Cards
410670,Single-player,Steam Achievements
1131410,Single-player,Steam Achievements
1417890,Single-player,Steam Achievements
2006770,Single-player,
1583840,Single-player,Steam Achievements
516940,Single-player,Steam Achievements
1304320,Single-player,
1471960,Single-player,Full controller support
1350540,Single-player,Multi-player
1512910,Single-player,Multi-player
511110,Multi-player,PvP
1578750,Single-player,Steam Achievements
1674300,Single-player,
465750,Single-player,Steam Achievements
1053660,Single-player,
605490,Single-player,Steam Achievements
1253320,Single-player,
448960,Single-player,Full controller support
1457150,Multi-player,MMO
1129660,Single-player,Steam Achievements
1550750,Single-player,
1787520,Single-player,Steam Achievements
292180,Single-player,Multi-player
1095140,Single-player,Multi-player
973410,Single-player,Steam Achievements
1564660,Single-player,Steam Achievements
1563100,Single-player,
1853200,Single-player,Steam Achievements
1953220,Single-player,
1094250,Single-player,Captions available
1979720,Others,
536660,Single-player,
362920,Single-player,
1113940,Single-player,Steam Achievements
915760,Single-player,Multi-player
1682030,Single-player,Steam Achievements
416840,Single-player,Multi-player
529130,Single-player,Steam Achievements
1730670,Single-player,
1535270,Single-player,
1836310,Single-player,Full controller support
1945980,Single-player,Multi-player
836440,Single-player,
796580,Single-player,Steam Achievements
1830050,Single-player,Steam Achievements
691680,Single-player,Multi-player
1798310,Single-player,Steam Achievements
2058120,Single-player,Steam Achievements
399670,Single-player,Steam Achievements
1410110,Single-player,Multi-player
1841060,Single-player,
584170,Single-player,
559210,Single-player,Steam Achievements
227160,Single-player,Steam Trading Cards
1331390,Single-player,
816490,Single-player,Steam Achievements
1576880,Multi-player,PvP
1527910,Single-player,Multi-player
1876060,Single-player,
336230,Single-player,
1029160,Single-player,Steam Achievements
1315070,Single-player,Steam Achievements
1353870,Single-player,Steam Achievements
975710,Single-player,Steam Achievements
980940,Single-player,
800510,Single-player,Steam Leaderboards
1094010,Multi-player,MMO
1692900,Single-player,
1730160,Single-player,
34282,Single-player,Partial Controller Support
714820,Single-player,
1794300,Single-player,
1297010,Single-player,Steam Achievements
40800,Single-player,Steam Achievements
371450,Single-player,Steam Achievements
2023330,Single-player,
1870170,Single-player,Steam Achievements
627690,Single-player,Steam Achievements
1348390,Single-player,
1436280,Single-player,Steam Achievements
1312000,Single-player,
1815550,Single-player,Steam Achievements
42920,Single-player,Multi-player
959540,Single-player,Full controller support
1167650,Single-player,Steam Cloud
939250,Single-player,
1600180,Single-player,
1941400,Single-player,
305490,Single-player,Steam Achievements
488360,Single-player,
682280,Single-player,Steam Achievements
648070,Single-player,Multi-player
1875470,Single-player,Steam Achievements
810590,Single-player,Steam Achievements
791320,Single-player,Steam Achievements
1598810,Single-player,Steam Achievements
1012390,Single-player,
1029650,Single-player,Steam Achievements
738030,Single-player,Full controller support
764630,Single-player,Steam Achievements
992990,Single-player,
962070,Single-player,
1365620,Single-player,
690610,Single-player,Shared/Split Screen PvP
905510,Single-player,Steam Achievements
1710810,Single-player,Steam Cloud
1386980,Single-player,
539750,Single-player,Steam Achievements
1601680,Single-player,Full controller support
1753690,Single-player,Steam Achievements
863230,Single-player,Multi-player
1059370,Single-player,Multi-player
1615560,Multi-player,PvP
1527140,Others,
661700,Single-player,
486940,Single-player,Multi-player
778860,Single-player,Steam Achievements
876850,Single-player,Steam Achievements
482390,Single-player,Full controller support
676320,Single-player,Steam Achievements
1684220,Single-player,Steam Achievements
946360,Single-player,
513330,Single-player,Steam Achievements
1179010,Single-player,Multi-player
1367380,Single-player,
1034120,Single-player,Steam Achievements
1713530,Single-player,
736430,Single-player,Steam Achievements
699510,Single-player,Steam Achievements
1100180,Single-player,Steam Cloud
959000,Single-player,Steam Achievements
731180,Single-player,
1481960,Single-player,Steam Achievements
376410,Single-player,Multi-player
723110,Single-player,Multi-player
226620,Single-player,Steam Achievements
1108750,Single-player,Steam Achievements
788040,Single-player,
1768790,Single-player,
1471220,Single-player,Steam Achievements
699080,Single-player,Steam Achievements
1068120,Single-player,Steam Achievements
1153040,Single-player,
1658770,Single-player,Multi-player
1061420,Single-player,Partial Controller Support
363180,Single-player,Steam Achievements
843620,Single-player,
1384350,Single-player,Multi-player
618570,Single-player,Steam Trading Cards
110600,Single-player,Steam Achievements
1172470,Multi-player,PvP
1471460,Single-player,Partial Controller Support
1284700,Single-player,Partial Controller Support
841600,Single-player,Steam Achievements
1671180,Single-player,
2061060,Single-player,
1299120,Single-player,Steam Achievements
1303170,Single-player,Multi-player
773530,Multi-player,PvP
1430100,Single-player,
1514160,Single-player,
404730,Single-player,Steam Achievements
945490,Single-player,Steam Achievements
1674730,Others,
301260,Single-player,
1866870,Single-player,
510710,Single-player,Steam Achievements
924310,Multi-player,PvP
1273430,Single-player,Partial Controller Support
556680,Single-player,
910850,Single-player,
1343450,Single-player,
1271620,Single-player,Multi-player
1492290,Single-player,Steam Achievements
1433770,Single-player,Steam Achievements
1804390,Single-player,
1091350,Single-player,
1836500,Single-player,Steam Achievements
813360,Single-player,
846220,Single-player,Steam Achievements
223750,Single-player,Multi-player
1845880,Single-player,Steam Achievements
