AppID,Genre_1,Genre_2,Genre_3
605490,Action,Casual,Indie
1253320,Action,Indie,Strategy
448960,Action,Adventure,Casual
1457150,Action,Adventure,Free to Play
1129660,Casual,,
1550750,Action,Adventure,Casual
1787520,Casual,Indie,RPG
292180,Simulation,,
1095140,Action,Adventure,Casual
973410,Action,Adventure,Indie
1564660,Indie,Strategy,Early Access
1563100,Action,Indie,
1853200,Action,Indie,
1953220,Indie,Strategy,
1094250,Action,Adventure,Indie
1979720,Others,,
536660,Action,Adventure,Indie
362920,Adventure,,
1113940,Indie,,
915760,Action,Indie,
1682030,Action,Adventure,Indie
416840,Indie,,
529130,Casual,Indie,RPG
1730670,Casual,Indie,
1535270,Casual,,
1836310,Action,Adventure,Indie
1945980,Action,Adventure,Indie
836440,Sexual Content,Nudity,Adventure
796580,Casual,,
1830050,Action,Casual,Indie
691680,Casual,Indie,Early Access
1798310,Indie,,
2058120,Casual,Indie,
399670,Indie,Simulation,
1410110,Action,Casual,Free to Play
1841060,Adventure,Casual,Indie
584170,Casual,Free to Play,Indie
559210,Adventure,Indie,RPG
227160,Action,Indie,Simulation
1331390,Casual,Indie,Early Access
816490,Casual,Indie,
1576880,Action,Free to Play,
1527910,Action,Free to Play,Indie
1876060,Action,Indie,Early Access
336230,Indie,,
1029160,Adventure,Indie,Strategy
1315070,Action,Casual,Free to Play
1353870,Action,Casual,Indie
975710,Adventure,Casual,Indie
980940,Casual,Simulation,Early Access
800510,Action,Casual,Indie
1094010,Action,Adventure,Free to Play
1692900,Action,Indie,Simulation
1730160,Casual,Indie,
34282,Action,,
714820,Casual,Indie,
1794300,Action,Indie,
1297010,Action,Adventure,Casual
40800,Indie,,
371450,Casual,Indie,
2023330,Action,Indie,
1870170,Action,Adventure,Indie
627690,Action,Adventure,Free to Play
1348390,Simulation,,
1436280,Action,Early Access,
1312000,Casual,Indie,
1815550,Casual,Indie,
42920,Strategy,,
959540,Adventure,Casual,Indie
1167650,Casual,Indie,
939250,Adventure,Casual,Indie
1600180,Casual,,
1941400,Action,Casual,Indie
305490,Adventure,Casual,Indie
488360,Action,Adventure,Simulation
682280,Casual,Indie,
648070,Violent,Gore,Action
1875470,Action,,
810590,Action,Adventure,Indie
791320,Adventure,Indie,
1598810,Casual,Indie,Simulation
1012390,Action,Casual,Indie
1029650,Adventure,Indie,RPG
738030,Indie,,
764630,Action,Casual,Indie
992990,Action,Adventure,Indie
962070,Action,Casual,Indie
1365620,Casual,Indie,Simulation
690610,Adventure,Free to Play,Indie
905510,Adventure,Casual,Indie
1710810,Action,Indie,
1386980,Action,Adventure,Indie
539750,Casual,Indie,Strategy
